table,rows,class,kind,domain,D,P,E,W,T,M,missing,priority,exec_evidence,witness,transfer
tessa_candidate_products,1,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,"reader_fn:tessa_evaluate_candidate_v1,tessa_ingredient_passport_v1; fk_child_rows:tessa_selection_verdicts",{},fk_child
thylora_authority_handoff_registry,1,WITNESS MISSING,POLICY/REGISTRY,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,fk_child_rows:thylora_constitution_volume_registry,{},fk_child
thylora_chairman_preview_packets,4,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,"writer_fn:thylora_chairman_preview_decision_v1,thy_record_approval_v1,thy_record_preview_v1; trigger:thy_name_guard; reader_fn:thylora_chairman_approval_screen_v1,thylora_chairman_preview_decision_v1,thylora_chairman_today_v1; fk_child_rows:thylora_chairman_preview_decisions",{},"surface_fn:thylora_chairman_approval_screen_v1,thylora_chairman_preview_decision_v1,thylora_chairman_today_v1; fk_child"
thylora_commerce_identity_aliases,3,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,1,0,W,25.0,"writer_fn:thylora_commerce_record_unlinked_purchase_v1,thylora_claim_pending_entitlements_v1; reader_fn:thylora_commerce_record_unlinked_purchase_v1,thylora_claim_pending_entitlements_v1; edge:lemon-squeezy-webhook,thylora-shopify-webhook",{},edge
thylora_commerce_webhook_events,3,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,1,0,W,25.0,"writer_fn:thylora_commerce_ingest_order_event_v1,thylora_commerce_record_unlinked_purchase_v1,thylora_claim_pending_entitlements_v1; reader_fn:thylora_delivery_health_v1,thylora_commerce_ingest_order_event_v1,thylora_first_sale_chain_v1; view:thylora_commerce_event_witness_v1",{},view
thylora_dashboard_eligibility_registry,7,WITNESS MISSING,POLICY/REGISTRY,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,"writer_fn:claim_thylora_dashboard_identity_invite_v1; reader_fn:get_thylora_dashboard_identity_admin_v1,issue_thylora_dashboard_identity_invite_v1,claim_thylora_dashboard_identity_invite_v1",{},"surface_fn:get_thylora_dashboard_identity_admin_v1,issue_thylora_dashboard_identity_invite_v1,claim_thylora_dashboard_identity_invite_v1"
thylora_qyris_translation_layer,1,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,trigger:thy_name_guard; reader_fn:thy_record_qyris_pass_v1; fk_child_rows:thylora_qyris_work_item_checks,{},fk_child
thylora_qyris_work_item_checks,164,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,25.0,"writer_fn:thy_record_qyris_pass_v1; trigger:thy_name_guard; reader_fn:thylora_chairman_today_v1,thylora_require_qyris_before_execution,thylora_qyris_state_v1",{},"surface_fn:thylora_chairman_today_v1,thylora_control_surface_v1"
thylora_store_movement_map,225,TRANSFER MISSING,POLICY/REGISTRY,COMMERCE,1,1,1,1,0,0,T,25.0,trigger:thy_name_guard,"{""row_evidence_fields"": 7}",
thylora_world_market_companies,6,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,25.0,"fk_child_rows:thylora_world_market_instruments,thylora_world_market_ownership",{},fk_child
product_variants,0,POPULATION MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,0,1,0,1,0,PW,24.0,fk_child_rows:order_items,{},fk_child
business_locations,4,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,22.5,trigger:thy_name_guard; fk_child_rows:properties,{},fk_child
er_vehicle_project_pipeline,10,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,22.5,trigger:thy_name_guard; fk_child_rows:er_automotive_show_episode_registry,{},fk_child
family_memberships,0,POPULATION MISSING,OPERATIONAL,COMMERCE,1,0,1,0,1,0,PW,22.5,writer_fn:claim_thylora_dashboard_identity_invite_v1; trigger:family_block_unapproved_child_provisioning_trigger; reader_fn:claim_thylora_dashboard_identity_invite_v1,{},surface_fn:claim_thylora_dashboard_identity_invite_v1
game_bet_casino_games,2,EXECUTION MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,0,0,1,0,EW,22.5,,{},repo:app/sports-betting.js
projects,6,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,22.5,trigger:thy_name_guard; fk_child_rows:assignments,{},repo:dashboard-current-head.html; fk_child
reveng_job_specs,1,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,22.5,fk_child_rows:reveng_render_jobs,{},fk_child
stripe_webhook_events,0,POPULATION MISSING,OPERATIONAL,COMMERCE,1,0,1,0,1,0,PW,22.5,writer_fn:thylora_process_stripe_checkout_completed; reader_fn:thylora_process_stripe_checkout_completed; edge:stripe-webhook,{},edge
studio_world_characters,14,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,22.5,trigger:thy_name_guard; fk_child_rows:studio_character_reference_assets,{},fk_child
thy_omniview_topics,15,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,22.5,"writer_fn:thy_sequence_append,thy_omniview_register_topic,thy_omniview_state_canon; reader_fn:thy_omniview_resolve_topic,thy_omniview_sequence,thy_omniview_manifest; fk_child_rows:thy_omniview_gates,thy_omniview_links,thy_omniview_questions",{},"surface_fn:thy_omniview_resolve_topic,thy_omniview_sequence,thy_omniview_manifest; fk_child"
thylora_dashboard_identity_invites,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,0,1,0,PW,22.5,"writer_fn:issue_thylora_dashboard_identity_invite_v1,claim_thylora_dashboard_identity_invite_v1; reader_fn:issue_thylora_dashboard_identity_invite_v1,claim_thylora_dashboard_identity_invite_v1",{},"surface_fn:issue_thylora_dashboard_identity_invite_v1,claim_thylora_dashboard_identity_invite_v1"
thylora_person_identity,84,WITNESS MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,1,0,0,0,WT,22.5,"trigger:thy_name_guard; reader_fn:thylora_person_life_record_v1,thylora_person_roster_v1",{},
thylora_revenue_paths,305,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,0,0,WT,22.5,trigger:thylora_revenue_paths_updated_at,{},
adult_assets,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,0,0,0,PWT,20.0,"writer_fn:adult_takedown_quarantine_gate,adult_consent_withdrawal_quarantine,adult_consent_instruments; trigger:trg_adult_asset_live_gate; reader_fn:adult_takedown_quarantine_gate,adult_consent_withdrawal_quarantine",{},
adult_talent,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,0,0,0,PWT,20.0,reader_fn:adult_asset_live_gate,{},
bramble_project_registry,1,WITNESS MISSING,POLICY/REGISTRY,GENERAL,1,1,1,0,1,0,W,20.0,trigger:thy_name_guard; fk_child_rows:bramble_episode_registry,{},fk_child
game_bet_accounts,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,0,0,0,PWT,20.0,reader_fn:game_bet_ticket_gate,{},
game_bet_markets,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,0,0,0,PWT,20.0,writer_fn:game_bet_pause_all_markets; reader_fn:game_bet_pause_all_markets,{},
profiles,1,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"reader_fn:claim_thylora_dashboard_identity_invite_v1; fk_child_rows:assignment_results,assignments,entitlements",{},surface_fn:claim_thylora_dashboard_identity_invite_v1; fk_child
programs,21,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"trigger:thy_name_guard; fk_child_rows:digital_product_passports,episodes,productions",{},fk_child
properties,7,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"reader_fn:thylora_graph_firewall_v1,thylora_graph_lookup_v1",{},surface_fn:thylora_graph_lookup_v1
qq_participants,3,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"reader_fn:qq_teacher_spotlight_v1; fk_child_rows:qq_credit_ledger,qq_explanations,qq_guardian_controls",{},fk_child
qq_questions,1,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"writer_fn:qq_confirm_understanding_v1; reader_fn:qq_principal_view_v1,qq_teacher_spotlight_v1,qq_confirm_understanding_v1; fk_child_rows:qq_explanations,qq_understanding_checks,qq_understanding_events",{},surface_fn:qq_principal_view_v1; fk_child
qq_understanding_events,1,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"writer_fn:qq_confirm_understanding_v1; reader_fn:qq_principal_view_v1,qq_teacher_spotlight_v1,qq_confirm_understanding_v1; fk_child_rows:qq_credit_ledger",{},surface_fn:qq_principal_view_v1; fk_child
reveng_projects,1,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"fk_child_rows:reveng_chat_messages,reveng_job_specs,reveng_render_jobs",{},fk_child
sports_competition_registry,2,WITNESS MISSING,POLICY/REGISTRY,GENERAL,1,1,1,0,1,0,W,20.0,"fk_child_rows:sports_guest_coach_program,sports_merchandise_program,sports_team_registry",{},fk_child
studio_people,23,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"trigger:thy_name_guard; reader_fn:thylora_person_life_record_v1,thylora_person_roster_v1; fk_child_rows:production_tasks,system_jurist_credentials; edge:dash",{},edge; fk_child
thylora_chairman_preview_tokens,7,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,20.0,"writer_fn:thylora_preview_token_redeem_v1,thylora_preview_token_mint_v1; reader_fn:thylora_preview_token_redeem_v1,thylora_preview_token_mint_v1",{},"surface_fn:thylora_preview_token_redeem_v1,thylora_preview_token_mint_v1"
thylora_chairman_review_gates,2,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,20.0,"writer_fn:submit_thylora_review_gate_decision_v1; trigger:thylora_chairman_review_gates_updated_at; reader_fn:submit_thylora_review_gate_decision_v1,get_thylora_review_gates_v1",{},"surface_fn:submit_thylora_review_gate_decision_v1,get_thylora_review_gates_v1"
thylora_continuity_anchor_authority,2,TRANSFER MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,1,0,0,T,20.0,"trigger:trg_validate_anchor_authority,trg_immutability_anchor_authority; reader_fn:thylora_current_controlling_floor","{""custody_trigger"": ""append_only""}",
thylora_continuity_audit_shadow,573,TRANSFER MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,1,0,0,T,20.0,"writer_fn:thylora_capture_before_destructive_change,continuity_log,idea_registry; reader_fn:thylora_capture_before_destructive_change","{""is_witness_ledger"": true}",
thylora_continuity_row_disposition,12,TRANSFER MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,1,0,0,T,20.0,trigger:trg_immutability_row_disposition; reader_fn:thylora_continuity_floor_state,"{""custody_trigger"": ""append_only""}",
thylora_dashboard_authority_lock,1,WITNESS MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,0,1,0,W,20.0,"reader_fn:thylora_continuity_floor_state,thylora_operating_surface_v1,thylora_chairman_dash_v1; view:thylora_gap_summary_v1; edge:chairman-command,thylora-build-compiler",{},"surface_fn:thylora_operating_surface_v1,thylora_chairman_dash_v1,thylora_control_surface_v1; view; edge"
thylora_ip_assets,1,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"reader_fn:thylora_export_b2b_rights_package,thylora_evaluate_rights_gate; view:thylora_ip_product_readiness; fk_child_rows:thylora_ip_manifest_declarations",{},view; fk_child
thylora_news_episode_registry,6,WITNESS MISSING,POLICY/REGISTRY,GENERAL,1,1,1,0,1,0,W,20.0,"trigger:thy_name_guard; reader_fn:thylora_operating_surface_v1; fk_child_rows:thylora_news_claim_ledger,thylora_news_scene_manifest",{},surface_fn:thylora_operating_surface_v1; fk_child
thylora_pqr_question_clusters,6,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"writer_fn:thylora_pqr_recount_cluster_v1; reader_fn:thylora_pqr_board_v1,thylora_pqr_recount_cluster_v1; fk_child_rows:thylora_pqr_board_rows,thylora_pqr_cluster_signals,thylora_pqr_evidence_checks",{},fk_child
thylora_response_continuity_policy,23,TRANSFER MISSING,POLICY/REGISTRY,DASHBOARD-FLOOR,1,1,1,1,0,0,T,20.0,"trigger:trg_rootbound_audit_thylora_response_continuity_policy,thy_name_guard","{""sh"": 2, ""custody_trigger"": ""shadow_capture_before_destructive_change""}",
thylora_succession_continuity_registry,5,TRANSFER MISSING,POLICY/REGISTRY,DASHBOARD-FLOOR,1,1,1,1,0,0,T,20.0,trigger:trg_rootbound_audit_thylora_succession_continuity_registry,"{""custody_trigger"": ""shadow_capture_before_destructive_change""}",
thylora_thread_continuity_evidence,2,TRANSFER MISSING,OPERATIONAL,DASHBOARD-FLOOR,1,1,1,1,0,0,T,20.0,trigger:trg_immutability_thread_continuity_evidence; reader_fn:thylora_new_thread_recovery_v1,"{""custody_trigger"": ""append_only""}",
thylora_visual_assets,94,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"trigger:thylora_visual_assets_set_updated_at,trg_mass_lock_visual_asset_approval,thy_name_guard; fk_child_rows:studio_character_reference_assets,thylora_visual_approvals,thylora_visual_provenance; edge:public-visual-registry",{},edge; fk_child
thylora_world_entities,93,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"trigger:thy_name_guard; fk_child_rows:studio_world_characters,thylora_food_provenance_chain,thylora_world_market_instruments",{},fk_child
thylora_world_market_venues,5,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,20.0,"fk_child_rows:thylora_world_market_companies,thylora_world_market_instruments,thylora_world_market_sessions",{},fk_child
transport_vehicle_registry,10,WITNESS MISSING,POLICY/REGISTRY,GENERAL,1,1,1,0,1,0,W,20.0,"fk_child_rows:er_automotive_build_sheets,er_vehicle_project_pipeline,transport_safety_case_registry",{},fk_child
business_factory_sessions,2,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,18.75,trigger:thy_name_guard; fk_child_rows:businesses,{},fk_child
business_residency_applications,1,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,18.75,fk_child_rows:business_residency_reviews,{},fk_child
downloads,0,POPULATION MISSING,OPERATIONAL,COMMERCE,1,0,1,0,1,0,PW,18.75,"edge:p0-protected-download,thylora-current-head,thylora-dashboard",{},edge
family_reports,7,WITNESS MISSING,OPERATIONAL,OPERATIONS,1,1,1,0,1,0,W,18.75,"edge:thylora-current-head,thylora-dashboard",{},repo:dashboard-current-head.html; edge
freshpath_worker_specialties,5,TRANSFER MISSING,OPERATIONAL,OPERATIONS,1,1,1,1,0,0,T,18.75,reader_fn:thylora_worker_spotlight_v1,"{""row_evidence_fields"": 5}",
legal_document,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,0,1,0,PW,18.75,view:thylora_gap_summary_v1,{},view
legal_opinion,1,EXECUTION MISSING,OPERATIONAL,SAFETY/LEGAL,1,1,0,1,0,0,ET,18.75,,"{""row_evidence_fields"": 1}",
thylora_entitlement_access_log,6,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,0,0,WT,18.75,"writer_fn:thylora_open_edf_v1; reader_fn:thylora_open_edf_v1,thylora_first_sale_chain_v1",{},
thylora_identity_gate_records,0,POPULATION MISSING,OPERATIONAL,SAFETY/LEGAL,1,0,1,0,1,0,PW,18.75,trigger:thylora_identity_gate_records_updated_at; edge:thylora-executive-patrol,{},edge
thylora_store_shelf_assignments,34,WITNESS MISSING,OPERATIONAL,COMMERCE,1,1,1,0,0,0,WT,18.75,reader_fn:thylora_store_home_v1,{},
assignments,24,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,trigger:thy_name_guard; fk_child_rows:assignment_results,{},fk_child
design_branch,1,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,fk_child_rows:design_revision,{},fk_child
design_model,2,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,"fk_child_rows:design_branch,design_revision",{},fk_child
financial_instrument_registry,3,WITNESS MISSING,POLICY/REGISTRY,GENERAL,1,1,1,0,1,0,W,17.5,"trigger:thy_name_guard; fk_child_rows:thylora_pay_periods,thylora_receivables_payables,thylora_wage_bands",{},fk_child
hot_gossip_publications,1,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,"trigger:thy_name_guard; fk_child_rows:hot_gossip_issues,hot_gossip_personas",{},fk_child
qq_explanations,2,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,"reader_fn:qq_teacher_spotlight_v1,qq_confirm_understanding_v1; fk_child_rows:qq_understanding_events",{},fk_child
reveng_render_jobs,4,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,fk_child_rows:reveng_render_events,{},fk_child
sports_authority_registry,1,WITNESS MISSING,POLICY/REGISTRY,GENERAL,1,1,1,0,1,0,W,17.5,"trigger:thy_name_guard; fk_child_rows:sports_commissioner_seat,sports_competition_registry,sports_network_registry",{},fk_child
thylora_build_compiler_runs,6,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,"writer_fn:create_thylora_build_run,advance_thylora_build_stage; reader_fn:create_thylora_build_run,advance_thylora_build_stage,get_thylora_effective_build_runs_v1; fk_child_rows:thylora_build_compiler_stages,thylora_build_events,thylora_build_evidence; edge:thylora-build-compiler",{},edge; fk_child
thylora_estate_land_units,7,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,"fk_child_rows:thylora_estate_animal_groups,thylora_estate_provision_orders",{},fk_child
thylora_global_question_localizations,12,WITNESS MISSING,OPERATIONAL,GENERAL,1,1,1,0,1,0,W,17.5,fk_child_rows:thylora_global_distribution_ledger,{},fk_child
